ORNL_id,sample_time,area,site,plot,depth_cm,sample_date,Al,Ca,Fe,FeII,K,Mg,Mn,Na,P
PhIr2022-141,13:37,non-acidic tundra,Mesic,2,20,8/7/22,0.08,7.05,0.4,,0.04,0.96,0.44,0.15,0.005
PhIr2022-142,13:52,non-acidic tundra,Mesic,3,0,8/7/22,0.07,8.65,0.09,,0.21,1.1,0.01,0.19,0.01
PhIr2022-143,13:57,non-acidic tundra,Mesic,3,10,8/7/22,0.04,8.3,0.03,,0.09,1.09,0.003,0.16,0.005
PhIr2022-144,14:05,non-acidic tundra,Mesic,3,20,8/7/22,0.14,8.17,2.09,,0.03,0.94,0.85,0.19,0.005
PhIr2022-145,14:21,non-acidic tundra,Hydric,1,0,8/7/22,0.01,41.1,0.02,,0.19,5.53,0.003,0.63,0.005
PhIr2022-146,14:23,non-acidic tundra,Hydric,1,10,8/7/22,0.01,36.8,0.41,,0.14,4.64,0.03,0.57,0.005
PhIr2022-147,14:34,non-acidic tundra,Hydric,1,20,8/7/22,0.01,34.1,1.34,,0.04,4.33,0.1,0.52,0.005
PhIr2022-148,15:03,non-acidic tundra,Hydric,1,40,8/7/22,0.02,51.9,5.88,3.3,0.1,5.92,0.65,0.65,0.005
PhIr2022-149,14:44,non-acidic tundra,Hydric,2,0,8/7/22,0.01,16.7,0.57,0.5,0.09,1.91,0.15,0.3,0.005
PhIr2022-150,14:44,non-acidic tundra,Hydric,2,10,8/7/22,0.02,21.7,0.01,,0.05,2.4,0.003,0.42,0.005
PhIr2022-151,14:51,non-acidic tundra,Hydric,2,20,8/7/22,0.01,20.4,0.66,,0.03,2.3,0.05,0.35,0.005
PhIr2022-152,14:53,non-acidic tundra,Hydric,2,40,8/7/22,0.02,15.7,2.99,2.875,0.06,1.7,0.36,0.34,0.005
PhIr2022-153,15:00,non-acidic tundra,Hydric,3,0,8/7/22,0.02,30.3,0.04,,0.39,3.79,0.01,0.42,0.005
PhIr2022-154,15:03,non-acidic tundra,Hydric,3,10,8/7/22,0.01,35.8,1.64,,0.2,4.41,0.14,0.54,0.005
PhIr2022-155,15:11,non-acidic tundra,Hydric,3,20,8/7/22,0.01,41.2,1.31,1.625,0.12,5.64,0.11,0.57,0.005
PhIr2022-156,15:18,non-acidic tundra,Hydric,3,40,8/7/22,0.03,41.2,6.8,6.7,0.07,3.77,1.54,0.57,0.005
PhIr2022-157,11:21,acidic tundra,Dry,2,10,8/8/22,0.53,5.34,0.61,,0.35,0.86,0.17,0.15,0.01
PhIr2022-158,11:32,acidic tundra,Dry,3,10,8/8/22,0.53,3.65,0.51,,0.5,0.79,0.12,0.21,0.01
PhIr2022-159,11:38,acidic tundra,Dry,3,20,8/8/22,0.56,4.63,0.56,,0.11,0.86,0.04,0.19,0.01
PhIr2022-160,12:01,acidic tundra,Mesic,1,0,8/8/22,0.24,2.43,0.13,,0.26,0.63,0.02,0.2,0.01
PhIr2022-161,12:26,acidic tundra,Mesic,1,10,8/8/22,0.23,2.14,0.15,,0.21,0.55,0.05,0.17,0.005
PhIr2022-162,12:50,acidic tundra,Mesic,1,20,8/8/22,0.27,2.54,0.3,,0.11,0.64,0.24,0.19,0.005
PhIr2022-163,13:00,acidic tundra,Mesic,1,40,8/8/22,0.3,2.7,0.33,,0.16,0.67,0.21,0.27,0.01
PhIr2022-164,13:05,acidic tundra,Mesic,2,10,8/8/22,0.43,2.75,0.47,,0.37,0.62,0.26,0.33,0.01
PhIr2022-165,13:42,acidic tundra,Hydric,1,0,8/8/22,0.29,2.16,0.26,,0.09,0.55,0.16,0.19,0.005
PhIr2022-166,13:41,acidic tundra,Hydric,1,10,8/8/22,0.55,2.2,5.93,3.75,0.08,0.58,0.28,0.15,0.01
PhIr2022-167,13:49,acidic tundra,Hydric,1,20,8/8/22,0.39,1.52,3.95,2.875,0.03,0.42,0.12,0.21,0.01
PhIr2022-168,13:32,acidic tundra,Hydric,2,0,8/8/22,0.31,3.62,0.17,,0.27,0.66,0.07,0.29,0.01
PhIr2022-169,13:53,acidic tundra,Hydric,2,10,8/8/22,0.54,8.82,11.4,8,0.34,1.76,1.2,0.23,0.02
PhIr2022-170,13:27,acidic tundra,Hydric,2,20,8/8/22,0.4,3.75,1.92,0.5,0.12,0.72,0.97,0.31,0.005
PhIr2022-171,14:05,acidic tundra,Hydric,3,0,8/8/22,0.26,4.1,0.24,,0.53,1,1.32,0.2,0.01
PhIr2022-172,14:02,acidic tundra,Hydric,3,10,8/8/22,0.79,21.2,66.2,39.5,0.75,4.22,51.2,0.34,0.005
PhIr2022-173,13:33,acidic tundra,Hydric,3,20,8/8/22,0.48,4.31,22.5,9,0.17,1.15,1.39,0.38,0.01
PhIr2022-176,17:10,acidic tundra,Mesic,1,10,9/15/22,0.42,4.65,3.34,,0.37,0.77,1.77,0.34,0.01
PhIr2022-1,14:46,acidic tundra,Dry,1,10,6/27/22,20.5,119.4,8.6,0,26.9,13.8,4.9,19,0.5
PhIr2022-175,16:20,acidic tundra,Dry,3,20,9/15/22,0.6,6.4,1.3,,0.3,1,0.3,0.4,0.05
PhIr2022-178,17:00,acidic tundra,Mesic,1,40,9/15/22,0.8,6.9,5.6,0.4,0.5,1.1,1,0.5,0.05
PhIr2022-179,17:30,acidic tundra,Mesic,3,10,9/15/22,0.6,5.2,4.1,0.63,0.5,0.9,1.9,0.4,0.05
PhIr2022-180,10:20,acidic tundra,Mesic,2,10,9/17/22,0.6,3.9,1.6,,0.3,0.8,0.6,0.2,0.05
PhIr2022-181,10:50,acidic tundra,Hydric,1,10,9/17/22,0.9,5.8,6.3,5.875,0.5,0.8,0.9,0.5,0.05
PhIr2022-182,10:55,acidic tundra,Hydric,1,20,9/17/22,0.7,4.7,7.6,,0.3,0.7,0.7,0.4,0.05
PhIr2022-183,11:10,acidic tundra,Hydric,2,0,9/17/22,1,8.4,9,0.67,0.8,1.2,4.2,0.6,0.05
PhIr2022-184,11:05,acidic tundra,Hydric,2,10,9/17/22,0.9,13.5,30.9,25.8,0.4,1.9,3.4,0.4,0.05
PhIr2022-185,10:30,acidic tundra,Hydric,3,0,9/17/22,0.9,6.6,6.7,1.75,0.7,0.9,1.6,0.6,0.05
PhIr2022-186,10:30,acidic tundra,Hydric,3,10,9/17/22,0.9,20.4,107,68,1.2,3.7,70.8,0.4,0.05
PhIr2022-187,11:50,non-acidic tundra,Mesic,3,10,9/23/22,2.3,9.5,2.7,,0.4,1.2,0.9,0.4,0.05
PhIr2022-188,12:30,non-acidic tundra,Hydric,2,10,9/23/22,485,207,3.5,1.67,0.4,5.6,0.2,9.5,0.05
PhIr2022-189,12:40,non-acidic tundra,Hydric,2,0,9/23/22,0.1,16.9,0.7,,0.2,2.2,0.2,0.4,0.05
PhIr2022-190,12:50,non-acidic tundra,Hydric,2,40,9/23/22,407,81.7,6.5,0,0.2,3.2,0.6,6.8,0.05
PhIr2022-191,12:40,non-acidic tundra,Hydric,2,20,9/23/22,139,363,3,0.25,0.3,6.6,0.3,7.7,0.1
PhIr2022-192,13:05,non-acidic tundra,Hydric,3,40,9/23/22,0.2,35.2,5.2,3.25,0.1,3.6,1,0.5,0.05
