"","Sample_ID","Core_ID","Date_collected","Area","Site","Plot_num","Plot_ID","Horizon","Depth_1_cm","Depth_2_cm","Depth_3_cm","Depth_4_cm","Average_Depth_cm","real_depth_cm","soil_bulk_density_g_cm3","volumetric_water_content_cm3_cm3","soil_material","label","date_simple","data"
"56","20210714-E-D3_O2","20210714-E-D3","14-Jul-21","acidic tundra","Dry","3","E-D3","O2","7","7.5","7.5","6","7","13.6","0.27","0.5751","organic","Plot-2-3","Plot-2","analyzed"
"57","20210714-E-M1_O1","20210714-E-M1","14-Jul-21","acidic tundra","Mesic","1","E-M1","O1","9.5","10","9.5","9.5","9.6","9.6","0.07","0.2282","organic","Plot-2-1","Plot-2","analyzed"
"58","20210714-E-M1_O2","20210714-E-M1","14-Jul-21","acidic tundra","Mesic","1","E-M1","O2","1.5","2.5","2","2","2","11.6","0.11","0.3256","organic","Plot-2-1","Plot-2","analyzed"
"59","20210714-E-M1_M","20210714-E-M1","14-Jul-21","acidic tundra","Mesic","1","E-M1","M","5.5","5.5","5","5","5.3","16.9","0.89","0.5251","mineral","Plot-2-1","Plot-2","analyzed"
"60","20210714-E-M2_O","20210714-E-M2","14-Jul-21","acidic tundra","Mesic","2","E-M2","O","8","7.5","7","7","7.4","7.4","0.19","0.2356","organic","Plot-2-2","Plot-2","analyzed"
"61","20210714-E-M2_M","20210714-E-M2","14-Jul-21","acidic tundra","Mesic","2","E-M2","M","9","9","9","8.9","9","16.4","1.15","0.391","mineral","Plot-2-2","Plot-2","analyzed"
"62","20210714-E-M3_O1","20210714-E-M3","14-Jul-21","acidic tundra","Mesic","3","E-M3","O1","5.5","6.5","5.5","8","6.4","6.4","not analyzed","not analyzed","organic","Plot-2-3","Plot-2","not analyzed"
"63","20210714-E-M3_O2","20210714-E-M3","14-Jul-21","acidic tundra","Mesic","3","E-M3","O2","9.5","8.5","7.5","8","8.4","14.8","not analyzed","not analyzed","organic","Plot-2-3","Plot-2","not analyzed"
"64","20210714-E-H1_O1","20210714-E-H1","14-Jul-21","acidic tundra","Hydric","1","E-H1","O1","10.5","10.5","8.5","7.5","9.3","9.3","0.03","0.1962","organic","Plot-2-1","Plot-2","analyzed"
"65","20210714-E-H1_O2","20210714-E-H1","14-Jul-21","acidic tundra","Hydric","1","E-H1","O2","6","6","5","5.5","5.6","14.9","0.12","0.5088","organic","Plot-2-1","Plot-2","analyzed"
"66","20210714-E-H2_O1","20210714-E-H2","14-Jul-21","acidic tundra","Hydric","2","E-H2","O1","6.5","5.5","4","5","5.3","5.3","0.05","0.255","organic","Plot-2-2","Plot-2","analyzed"
"67","20210714-E-H2_O2","20210714-E-H2","14-Jul-21","acidic tundra","Hydric","2","E-H2","O2","10","9.5","9","9","9.4","14.7","0.21","0.588","organic","Plot-2-2","Plot-2","analyzed"
"68","20210714-E-H3_O1","20210714-E-H3","14-Jul-21","acidic tundra","Hydric","3","E-H3","O1","9","8.5","11","11","9.9","9.9","not analyzed","not analyzed","organic","Plot-2-3","Plot-2","not analyzed"
"69","20210714-E-H3_O2","20210714-E-H3","14-Jul-21","acidic tundra","Hydric","3","E-H3","O2","8","7","8","9","8","17.9","not analyzed","not analyzed","organic","Plot-2-3","Plot-2","not analyzed"
"70","20210724-W-T1_O","20210724-W-T1","24-Jul-21","non-acidic tundra","Transect","T1","W-T1","O","5.5","7","7.5","7.5","6.9","6.9","not analyzed","not analyzed","organic","Plot-3-T1","Plot-3","not analyzed"
"71","20210724-W-T1_M","20210724-W-T1","24-Jul-21","non-acidic tundra","Transect","T1","W-T1","M","13","12.5","11.5","12.5","12.4","19.3","not analyzed","not analyzed","mineral","Plot-3-T1","Plot-3","not analyzed"
"72","20210724-W-T2_O1","20210724-W-T2","24-Jul-21","non-acidic tundra","Transect","T2","W-T2","O1","3.5","4.5","4.5","3","3.9","3.9","not analyzed","not analyzed","organic","Plot-3-T2","Plot-3","not analyzed"
"73","20210724-W-T2_O2","20210724-W-T2","24-Jul-21","non-acidic tundra","Transect","T2","W-T2","O2","6","7.5","7","7","6.9","10.8","not analyzed","not analyzed","organic","Plot-3-T2","Plot-3","not analyzed"
"74","20210724-W-T2_M","20210724-W-T2","24-Jul-21","non-acidic tundra","Transect","T2","W-T2","M","not analyzed","not analyzed","not analyzed","not analyzed","not analyzed","not analyzed","not analyzed","not analyzed","mineral","Plot-3-T2","Plot-3","not analyzed"
"75","20210724-W-T3_O","20210724-W-T3","24-Jul-21","non-acidic tundra","Transect","T3","W-T3","O","11","12","10.5","12","11.4","11.4","not analyzed","not analyzed","organic","Plot-3-T3","Plot-3","not analyzed"
"76","20210724-W-T3_M","20210724-W-T3","24-Jul-21","non-acidic tundra","Transect","T3","W-T3","M","12.5","not analyzed","not analyzed","not analyzed","12.5","23.9","not analyzed","not analyzed","mineral","Plot-3-T3","Plot-3","not analyzed"
"77","20210724-W-T4_O1","20210724-W-T4","24-Jul-21","non-acidic tundra","Transect","T4","W-T4","O1","12.5","12.5","11","11.5","11.9","11.9","not analyzed","not analyzed","organic","Plot-3-T4","Plot-3","not analyzed"
"78","20210724-W-T4_O2","20210724-W-T4","24-Jul-21","non-acidic tundra","Transect","T4","W-T4","O2","7.5","7.5","8","8.5","7.9","19.8","not analyzed","not analyzed","organic","Plot-3-T4","Plot-3","not analyzed"
"79","20210724-W-T5_O1","20210724-W-T5","24-Jul-21","non-acidic tundra","Transect","T5","W-T5","O1","7.5","6","5","7","6.4","6.4","not analyzed","not analyzed","organic","Plot-3-T5","Plot-3","not analyzed"
"80","20210724-W-T5_O2","20210724-W-T5","24-Jul-21","non-acidic tundra","Transect","T5","W-T5","O2","9","8.5","8.5","8","8.5","14.9","not analyzed","not analyzed","organic","Plot-3-T5","Plot-3","not analyzed"
"81","20210724-W-T6_O1","20210724-W-T6","24-Jul-21","non-acidic tundra","Transect","T6","W-T6","O1","6.5","7.5","7.5","7","7.1","7.1","not analyzed","not analyzed","organic","Plot-3-T6","Plot-3","not analyzed"
"82","20210724-W-T6_O2","20210724-W-T6","24-Jul-21","non-acidic tundra","Transect","T6","W-T6","O2","10","10.5","9.5","9","9.8","16.9","not analyzed","not analyzed","organic","Plot-3-T6","Plot-3","not analyzed"
"83","20210724-W-T6_M","20210724-W-T6","24-Jul-21","non-acidic tundra","Transect","T6","W-T6","M","5","4.5","5.5","5.5","5.1","22","not analyzed","not analyzed","mineral","Plot-3-T6","Plot-3","not analyzed"
"84","20210724-W-T7_O1","20210724-W-T7","24-Jul-21","non-acidic tundra","Transect","T7","W-T7","O1","8","8","8","9.6","8.4","8.4","not analyzed","not analyzed","organic","Plot-3-T7","Plot-3","not analyzed"
"85","20210724-W-T7_O2","20210724-W-T7","24-Jul-21","non-acidic tundra","Transect","T7","W-T7","O2","12.5","13","12.5","14","13","21.4","not analyzed","not analyzed","organic","Plot-3-T7","Plot-3","not analyzed"
"86","20210724-W-T8_O1","20210724-W-T8","24-Jul-21","non-acidic tundra","Transect","T8","W-T8","O1","11.5","10.5","11","11","11","11","not analyzed","not analyzed","organic","Plot-3-T8","Plot-3","not analyzed"
"87","20210724-W-T8_O2","20210724-W-T8","24-Jul-21","non-acidic tundra","Transect","T8","W-T8","O2","12","11","12","11.5","11.6","22.6","not analyzed","not analyzed","organic","Plot-3-T8","Plot-3","not analyzed"
"88","20210724-W-T9_O1","20210724-W-T9","24-Jul-21","non-acidic tundra","Transect","T9","W-T9","O1","9.5","9","9","7.5","8.8","8.8","not analyzed","not analyzed","organic","Plot-3-T9","Plot-3","not analyzed"
"89","20210724-W-T9_O2","20210724-W-T9","24-Jul-21","non-acidic tundra","Transect","T9","W-T9","O2","11","12.5","12.5","12.5","12.1","20.9","not analyzed","not analyzed","organic","Plot-3-T9","Plot-3","not analyzed"
"90","20210724-W-T10_O1","20210724-W-T10","24-Jul-21","non-acidic tundra","Transect","T10","W-T10","O1","15","14","14","15.5","14.6","14.6","not analyzed","not analyzed","organic","Plot-3-T10","Plot-3","not analyzed"
"91","20210724-W-T10_O2","20210724-W-T10","24-Jul-21","non-acidic tundra","Transect","T10","W-T10","O2","7","6.5","7","5.5","6.5","21.1","not analyzed","not analyzed","organic","Plot-3-T10","Plot-3","not analyzed"
"92","20210724-W-T11_O1","20210724-W-T11","24-Jul-21","non-acidic tundra","Transect","T11","W-T11","O1","8.5","9.5","9.5","8.5","9","9","not analyzed","not analyzed","organic","Plot-3-T11","Plot-3","not analyzed"
"93","20210724-W-T11_O2","20210724-W-T11","24-Jul-21","non-acidic tundra","Transect","T11","W-T11","O2","10","10","9.5","9","9.6","18.6","not analyzed","not analyzed","organic","Plot-3-T11","Plot-3","not analyzed"
"94","20210724-W-T12_O1","20210724-W-T12","24-Jul-21","non-acidic tundra","Transect","T12","W-T12","O1","10.5","10","9.5","10.5","10.1","10.1","not analyzed","not analyzed","organic","Plot-3-T12","Plot-3","not analyzed"
