"","Sample_ID","Core_ID","Date_collected","Area","Site","Plot_num","Plot_ID","Horizon","soil_material","Average_thickness_cm","real_depth_cm","soil_bulk_density_g_cm3","grav_moist_perc","grav_water_gh20_per_gdrysoil","volumetric_water_content_cm3_cm3"
"145","20210731-W-D1_O2","20210731-W-D1","31-Jul-21","non-acidic tundra","Dry","1","W-D1","O2","organic",13.8,21.9,NA,NA,NA,NA
"146","20210731-W-D2_O1","20210731-W-D2","31-Jul-21","non-acidic tundra","Dry","2","W-D2","O1","organic",8.8,8.8,NA,NA,NA,NA
"147","20210731-W-D2_O2","20210731-W-D2","31-Jul-21","non-acidic tundra","Dry","2","W-D2","O2","organic",12.3,21.1,NA,NA,NA,NA
"148","20210731-W-D3_O1","20210731-W-D3","31-Jul-21","non-acidic tundra","Dry","3","W-D3","O1","organic",8.4,8.4,0.07,81.3,4.36,0.3052
"149","20210731-W-D3_O2","20210731-W-D3","31-Jul-21","non-acidic tundra","Dry","3","W-D3","O2","organic",13.8,22.2,0.38,62.6,1.67,0.6346
"150","20210731-W-M1_O1","20210731-W-M1","31-Jul-21","non-acidic tundra","Mesic","1","W-M1","O1","organic",5.1,5.1,NA,NA,NA,NA
"151","20210731-W-M1_O2","20210731-W-M1","31-Jul-21","non-acidic tundra","Mesic","1","W-M1","O2","organic",11.5,16.6,NA,NA,NA,NA
"152","20210731-W-M2_O1","20210731-W-M2","31-Jul-21","non-acidic tundra","Mesic","2","W-M2","O1","organic",10.1,10.1,NA,NA,NA,NA
"153","20210731-W-M2_O2","20210731-W-M2","31-Jul-21","non-acidic tundra","Mesic","2","W-M2","O2","organic",10.5,20.6,NA,NA,NA,NA
"154","20210731-W-M3_O1","20210731-W-M3","31-Jul-21","non-acidic tundra","Mesic","3","W-M3","O1","organic",8.6,8.6,NA,NA,NA,NA
"155","20210731-W-M3_O2","20210731-W-M3","31-Jul-21","non-acidic tundra","Mesic","3","W-M3","O2","organic",11.6,20.2,NA,NA,NA,NA
"156","20210731-W-H1_O1","20210731-W-H1","31-Jul-21","non-acidic tundra","Hydric","1","W-H1","O1","organic",9.1,9.1,NA,NA,NA,NA
"157","20210731-W-H1_O2","20210731-W-H1","31-Jul-21","non-acidic tundra","Hydric","1","W-H1","O2","organic",8,17.1,NA,NA,NA,NA
"158","20210731-W-H2_O1","20210731-W-H2","31-Jul-21","non-acidic tundra","Hydric","2","W-H2","O1","organic",9.1,9.1,NA,NA,NA,NA
"159","20210731-W-H2_O2","20210731-W-H2","31-Jul-21","non-acidic tundra","Hydric","2","W-H2","O2","organic",10.1,19.2,NA,NA,NA,NA
"160","20210731-W-H3_O1","20210731-W-H3","31-Jul-21","non-acidic tundra","Hydric","3","W-H3","O1","organic",8.1,8.1,NA,NA,NA,NA
"161","20210731-W-H3_O2","20210731-W-H3","31-Jul-21","non-acidic tundra","Hydric","3","W-H3","O2","organic",6.9,15,NA,NA,NA,NA
"162","20210807-E-D1_O1","20210807-E-D1","7-Aug-21","acidic tundra","Dry","1","E-D1","O1","organic",9.6,9.6,NA,NA,NA,NA
"163","20210807-E-D1_O2","20210807-E-D1","7-Aug-21","acidic tundra","Dry","1","E-D1","O2","organic",8.8,18.4,NA,NA,NA,NA
"164","20210807-E-D2_O","20210807-E-D2","7-Aug-21","acidic tundra","Dry","2","E-D2","O","organic",7.5,7.5,0.03,73.8,2.81,0.0843
"165","20210807-E-D2_M","20210807-E-D2","7-Aug-21","acidic tundra","Dry","2","E-D2","M","mineral",12.4,19.9,0.43,49.8,0.99,0.4257
"166","20210807-E-D3_O1","20210807-E-D3","7-Aug-21","acidic tundra","Dry","3","E-D3","O1","organic",11.8,11.8,0.03,83.7,5.15,0.1545
"167","20210807-E-D3_O2","20210807-E-D3","7-Aug-21","acidic tundra","Dry","3","E-D3","O2","organic",8.1,19.9,0.33,62.6,1.68,0.5544
"168","20210807-E-M1_O","20210807-E-M1","7-Aug-21","acidic tundra","Mesic","1","E-M1","O","organic",3.6,3.6,0.07,70.3,2.37,0.1659
