sampleID,Core_ID,Date_collected,Area,Site,Plot_num,Plot_ID,Horizon,Depth_1_cm,Depth_2_cm,Depth_3_cm,Depth_4_cm,Average_Depth_cm,real_depth_cm,soil_bulk_density_g_cm3,volumetric_water_content_cm3_cm3,soil_material,label,driedsample_readyforshipping
20210724-E-T9_O,20210724-E-T9,24-Jul-21,acidic tundra,Transect,T9,E-T9,O,8,7.5,8.5,8.5,8.1,8.1,NA,NA,organic,O,NA
20210724-E-T9_M,20210724-E-T9,24-Jul-21,acidic tundra,Transect,T9,E-T9,M,11,11,11,12,11.3,19.4,NA,NA,mineral,M,NA
20210724-E-T10_O1,20210724-E-T10,24-Jul-21,acidic tundra,Transect,T10,E-T10,O1,6.5,8,8,6.5,7.3,7.3,NA,NA,organic,O1,NA
20210724-E-T10_O2,20210724-E-T10,24-Jul-21,acidic tundra,Transect,T10,E-T10,O2,10.5,9.5,9,8.5,9.4,16.7,NA,NA,organic,O2,NA
20210724-E-T11_O1,20210724-E-T11,24-Jul-21,acidic tundra,Transect,T11,E-T11,O1,7,8.5,6,6,6.9,6.9,NA,NA,organic,O1,NA
20210724-E-T11_O2,20210724-E-T11,24-Jul-21,acidic tundra,Transect,T11,E-T11,O2,6,5.5,6.5,7.5,6.4,13.3,NA,NA,organic,O2,NA
20210724-E-T12_O1,20210724-E-T12,24-Jul-21,acidic tundra,Transect,T12,E-T12,O1,13,13,14,13.5,13.4,13.4,NA,NA,organic,O1,NA
20210724-E-T12_O2,20210724-E-T12,24-Jul-21,acidic tundra,Transect,T12,E-T12,O2,6,5,5,4.5,5.1,18.5,NA,NA,organic,O2,NA
20210724-E-T13_O1,20210724-E-T13,24-Jul-21,acidic tundra,Transect,T13,E-T13,O1,7.5,8.5,8,8,8,8,NA,NA,organic,O1,NA
20210724-E-T13_O2,20210724-E-T13,24-Jul-21,acidic tundra,Transect,T13,E-T13,O2,9,10,9,8,9,17,NA,NA,organic,O2,NA
20210730-E-D1_O1,20210730-E-D1,30-Jul-21,acidic tundra,Dry,1,E-D1,O1,9.5,8.5,8.5,11,9.4,9.4,NA,NA,organic,O1,NA
20210730-E-D1_O2,20210730-E-D1,30-Jul-21,acidic tundra,Dry,1,E-D1,O2,13,12.5,11.5,11,12,21.4,NA,NA,organic,O2,NA
20210730-E-D2_O1,20210730-E-D2,30-Jul-21,acidic tundra,Dry,2,E-D2,O1,12.5,9.5,7.5,10.5,10,10,NA,NA,organic,O1,NA
20210730-E-D2_O2,20210730-E-D2,30-Jul-21,acidic tundra,Dry,2,E-D2,O2,8,6.5,6.5,7.5,7.1,17.1,NA,NA,organic,O2,NA
20210730-E-D3_O,20210730-E-D3,30-Jul-21,acidic tundra,Dry,3,E-D3,O,7.5,7.5,8,8.5,7.9,7.9,0.29,0.3219,organic,O,NA
20210730-E-D3_M,20210730-E-D3,30-Jul-21,acidic tundra,Dry,3,E-D3,M,14,13.5,13.5,12,13.3,21.2,1.4,0.336,mineral,M,yes
20210730-E-M1_O,20210730-E-M1,30-Jul-21,acidic tundra,Mesic,1,E-M1,O,9,8,7,9.5,8.4,8.4,NA,NA,organic,O,yes
