"","Day","Month_num","Year","Area","Site","Plot","Plot_ID","rep","thaw_depth_cm","Month","date2"
"222","19","Jun","2021","acidic tundra","Mesic",3,"E-M3","X12",13,"06",2021-06-19
"223","19","Jun","2021","acidic tundra","Mesic",3,"E-M3","X13",26,"06",2021-06-19
"224","19","Jun","2021","acidic tundra","Mesic",3,"E-M3","X14",10,"06",2021-06-19
"225","19","Jun","2021","acidic tundra","Mesic",3,"E-M3","X15",8,"06",2021-06-19
"226","19","Jun","2021","acidic tundra","Hydric",1,"E-H1","X1",13,"06",2021-06-19
"227","19","Jun","2021","acidic tundra","Hydric",1,"E-H1","X2",11,"06",2021-06-19
"228","19","Jun","2021","acidic tundra","Hydric",1,"E-H1","X3",12,"06",2021-06-19
"229","19","Jun","2021","acidic tundra","Hydric",1,"E-H1","X4",8,"06",2021-06-19
"230","19","Jun","2021","acidic tundra","Hydric",1,"E-H1","X5",14,"06",2021-06-19
"231","19","Jun","2021","acidic tundra","Hydric",1,"E-H1","X6",11,"06",2021-06-19
"232","19","Jun","2021","acidic tundra","Hydric",1,"E-H1","X7",7,"06",2021-06-19
"233","19","Jun","2021","acidic tundra","Hydric",1,"E-H1","X8",15,"06",2021-06-19
"234","19","Jun","2021","acidic tundra","Hydric",1,"E-H1","X9",16,"06",2021-06-19
"235","19","Jun","2021","acidic tundra","Hydric",1,"E-H1","X10",17,"06",2021-06-19
"236","19","Jun","2021","acidic tundra","Hydric",1,"E-H1","X11",19,"06",2021-06-19
"237","19","Jun","2021","acidic tundra","Hydric",1,"E-H1","X12",11,"06",2021-06-19
"238","19","Jun","2021","acidic tundra","Hydric",1,"E-H1","X13",16,"06",2021-06-19
"239","19","Jun","2021","acidic tundra","Hydric",1,"E-H1","X14",11,"06",2021-06-19
"240","19","Jun","2021","acidic tundra","Hydric",1,"E-H1","X15",13,"06",2021-06-19
"241","19","Jun","2021","acidic tundra","Hydric",2,"E-H2","X1",11,"06",2021-06-19
"242","19","Jun","2021","acidic tundra","Hydric",2,"E-H2","X2",14,"06",2021-06-19
"243","19","Jun","2021","acidic tundra","Hydric",2,"E-H2","X3",20,"06",2021-06-19
"244","19","Jun","2021","acidic tundra","Hydric",2,"E-H2","X4",17,"06",2021-06-19
"245","19","Jun","2021","acidic tundra","Hydric",2,"E-H2","X5",27,"06",2021-06-19
"246","19","Jun","2021","acidic tundra","Hydric",2,"E-H2","X6",13,"06",2021-06-19
"247","19","Jun","2021","acidic tundra","Hydric",2,"E-H2","X7",31,"06",2021-06-19
"248","19","Jun","2021","acidic tundra","Hydric",2,"E-H2","X8",17,"06",2021-06-19
"249","19","Jun","2021","acidic tundra","Hydric",2,"E-H2","X9",20,"06",2021-06-19
"250","19","Jun","2021","acidic tundra","Hydric",2,"E-H2","X10",17,"06",2021-06-19
"251","19","Jun","2021","acidic tundra","Hydric",2,"E-H2","X11",11,"06",2021-06-19
"252","19","Jun","2021","acidic tundra","Hydric",2,"E-H2","X12",10,"06",2021-06-19
"253","19","Jun","2021","acidic tundra","Hydric",2,"E-H2","X13",11,"06",2021-06-19
"254","19","Jun","2021","acidic tundra","Hydric",2,"E-H2","X14",20,"06",2021-06-19
"255","19","Jun","2021","acidic tundra","Hydric",2,"E-H2","X15",20,"06",2021-06-19
"256","19","Jun","2021","acidic tundra","Hydric",3,"E-H3","X1",12,"06",2021-06-19
"257","19","Jun","2021","acidic tundra","Hydric",3,"E-H3","X2",18,"06",2021-06-19
"258","19","Jun","2021","acidic tundra","Hydric",3,"E-H3","X3",10,"06",2021-06-19
"259","19","Jun","2021","acidic tundra","Hydric",3,"E-H3","X4",11,"06",2021-06-19
"260","19","Jun","2021","acidic tundra","Hydric",3,"E-H3","X5",10,"06",2021-06-19
"261","19","Jun","2021","acidic tundra","Hydric",3,"E-H3","X6",13,"06",2021-06-19
"262","19","Jun","2021","acidic tundra","Hydric",3,"E-H3","X7",7,"06",2021-06-19
"263","19","Jun","2021","acidic tundra","Hydric",3,"E-H3","X8",9,"06",2021-06-19
"264","19","Jun","2021","acidic tundra","Hydric",3,"E-H3","X9",9,"06",2021-06-19
"265","19","Jun","2021","acidic tundra","Hydric",3,"E-H3","X10",12,"06",2021-06-19
"266","19","Jun","2021","acidic tundra","Hydric",3,"E-H3","X11",12,"06",2021-06-19
"267","19","Jun","2021","acidic tundra","Hydric",3,"E-H3","X12",6,"06",2021-06-19
"268","19","Jun","2021","acidic tundra","Hydric",3,"E-H3","X13",13,"06",2021-06-19
"269","19","Jun","2021","acidic tundra","Hydric",3,"E-H3","X14",16,"06",2021-06-19
"270","19","Jun","2021","acidic tundra","Hydric",3,"E-H3","X15",10,"06",2021-06-19
"271","24","Jun","2021","acidic tundra","Dry",1,"E-D1","X1",13,"06",2021-06-24
"272","24","Jun","2021","acidic tundra","Dry",1,"E-D1","X2",10,"06",2021-06-24
"273","24","Jun","2021","acidic tundra","Dry",1,"E-D1","X3",11,"06",2021-06-24
"274","24","Jun","2021","acidic tundra","Dry",1,"E-D1","X4",2,"06",2021-06-24
"275","24","Jun","2021","acidic tundra","Dry",1,"E-D1","X5",21,"06",2021-06-24
"276","24","Jun","2021","acidic tundra","Dry",1,"E-D1","X6",15,"06",2021-06-24
"277","24","Jun","2021","acidic tundra","Dry",1,"E-D1","X7",50,"06",2021-06-24
"278","24","Jun","2021","acidic tundra","Dry",1,"E-D1","X8",15,"06",2021-06-24
"279","24","Jun","2021","acidic tundra","Dry",1,"E-D1","X9",30,"06",2021-06-24
"280","24","Jun","2021","acidic tundra","Dry",1,"E-D1","X10",12,"06",2021-06-24
"281","24","Jun","2021","acidic tundra","Dry",1,"E-D1","X11",10,"06",2021-06-24
"282","24","Jun","2021","acidic tundra","Dry",1,"E-D1","X12",35,"06",2021-06-24
"283","24","Jun","2021","acidic tundra","Dry",1,"E-D1","X13",32,"06",2021-06-24
"284","24","Jun","2021","acidic tundra","Dry",1,"E-D1","X14",41,"06",2021-06-24
"285","24","Jun","2021","acidic tundra","Dry",1,"E-D1","X15",8,"06",2021-06-24
"286","24","Jun","2021","acidic tundra","Dry",2,"E-D2","X1",19,"06",2021-06-24
"287","24","Jun","2021","acidic tundra","Dry",2,"E-D2","X2",28,"06",2021-06-24
"288","24","Jun","2021","acidic tundra","Dry",2,"E-D2","X3",11,"06",2021-06-24
"289","24","Jun","2021","acidic tundra","Dry",2,"E-D2","X4",15,"06",2021-06-24
